MDT	KPERC	eU	eth	UTHRAZAO	THKRAZAO	MAGIGRF	closest_unid	X	Y	geometry
continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	string
							class	meta	meta	meta
478.56405969143947	0.4636363089626086	1.463590358643853	11.713482452492112	0.12897519456028186	27.992972495209678	60.45627872151603	A4_gamma_v	528914.155507715	8827961.663258439	POINT (528914.155507715 8827961.663258439)
448.96107761966425	1.4781811602924702	0.34977672448832453	7.015269242755666	0.04955585199056208	5.295359320513306	58.69440638812929	A4_gamma_v	529537.3054108985	8827457.519142209	POINT (529537.3054108985 8827457.519142209)
447.5310958143708	1.2750662373317465	0.772580705009489	9.343170730310197	0.08276434706144918	6.160770551258634	-6.1508158295305435	A4_gamma_v	529911.1953528086	8827457.519142209	POINT (529911.1953528086 8827457.519142209)
450.82050615923436	0.7205247412081693	1.2733414092904352	9.279939835172543	0.14084347045138923	16.15603623472363	26.380147577902505	A4_gamma_v	529537.3054108985	8827205.447084093	POINT (529537.3054108985 8827205.447084093)
448.9305825566697	0.9524904260035866	0.7185213296389241	5.554050187545706	0.12922170189906418	5.691063725518088	63.360003416182565	A4_gamma_v	529163.4154689884	8827583.555171266	POINT (529163.4154689884 8827583.555171266)
449.5701598118607	1.269154439973314	0.8037207054202006	5.866373551031033	0.12218661423488512	2.5753233077718116	-71.7443024405239	A4_gamma_v	530035.8253334453	8827205.447084093	POINT (530035.8253334453 8827205.447084093)
450.0144241465324	1.0115324302069426	0.9525248485499941	9.905573539975663	0.09541693610581561	8.494088036979031	-32.5573038758692	A4_gamma_v	530035.8253334453	8827457.519142209	POINT (530035.8253334453 8827457.519142209)
461.3863348213707	0.5376999470374695	0.7165966413533009	9.26595909018314	0.09183912462864553	21.74450187873971	-72.79283379518111	A4_gamma_v	530409.7152753554	8827331.483113151	POINT (530409.7152753554 8827331.483113151)
450.1323311298485	1.1304381091375444	1.2378232927593948	12.163660674359866	0.09919889876169258	10.634780313627811	-133.80275065240969	A4_gamma_v	530035.8253334453	8826953.375025978	POINT (530035.8253334453 8826953.375025978)
446.40063533880476	0.8841173417417286	1.0696475598908228	7.1133144688679355	0.14925026952061765	7.656866169533839	66.17563711583013	A4_gamma_v	529163.4154689884	8827709.591200324	POINT (529163.4154689884 8827709.591200324)
463.84469024911516	0.8556087845813162	1.0807052061456306	10.512167978908517	0.10352483585257871	15.272955214020655	60.09904804168856	A4_gamma_v	528914.155507715	8827835.627229381	POINT (528914.155507715 8827835.627229381)
459.3856098874724	0.744876840178474	1.6232329726292436	14.52708685160163	0.10982598012209618	23.52822783949881	-118.7425043270147	A4_gamma_v	529911.1953528086	8826827.33899692	POINT (529911.1953528086 8826827.338996921)
471.16579643656974	1.0884041337599197	0.13955054005299633	5.526262193628407	0.023127821889716096	5.390057787796472	43.94996970916545	A4_gamma_v	529661.9353915352	8827583.555171266	POINT (529661.9353915352 8827583.555171266)
449.9619906756067	0.879929559540178	0.891412672037467	9.024119820949956	0.09545516911305874	9.032139634436229	-85.95269312688535	A4_gamma_v	529786.5653721718	8827079.411055036	POINT (529786.5653721718 8827079.411055036)
468.8199206890105	0.7123433727177124	1.021860600335574	10.600983318710634	0.09605480507464041	16.737889893469443	65.24092893860359	A4_gamma_v	529038.7854883517	8827835.627229381	POINT (529038.7854883517 8827835.627229381)
456.70529122667693	0.6981872133491882	0.8743702401382709	8.01911083453157	0.11091614445505034	16.252425354877957	80.18225565435286	A4_gamma_v	529288.045449625	8827331.483113151	POINT (529288.045449625 8827331.483113151)
