k,d_med_m,delta_d,rel_delta,diff_to_500,abs_diff_500,ratio_to_500
69,622.1133337262593,3.706106727636893,0.0059929874132036,122.11333372625928,122.11333372625928,1.2442266674525186
70,626.2383781072235,4.125044380964255,0.0066306959798732,126.23837810722353,126.23837810722353,1.252476756214447
71,630.2293233419086,3.990945234685114,0.0063728851092575,130.22932334190864,130.22932334190864,1.2604586466838172
72,634.8361658312898,4.606842489381165,0.0073097875943831,134.8361658312898,134.8361658312898,1.2696723316625795
73,639.2284411695086,4.3922753382188375,0.0069187541205491,139.22844116950864,139.22844116950864,1.2784568823390172
74,644.3008554934369,5.072414323928228,0.0079352137627792,144.30085549343687,144.30085549343687,1.2886017109868737
75,649.060860012372,4.760004518935148,0.0073878600010389,149.06086001237202,149.06086001237202,1.298121720024744
76,654.4200902759645,5.359230263592508,0.0082568994585351,154.42009027596453,154.42009027596453,1.308840180551929
77,659.4338480778807,5.013757801916199,0.0076613751264908,159.43384807788073,159.43384807788073,1.3188676961557615
78,664.7533313943918,5.319483316511082,0.0080667429068379,164.7533313943918,164.7533313943918,1.3295066627887837
79,669.7133715254608,4.960040131069036,0.0074614746505516,169.71337152546084,169.71337152546084,1.3394267430509217
80,674.8133158820079,5.099944356547098,0.0076151150229097,174.81331588200794,174.81331588200794,1.349626631764016
81,679.5483794403457,4.735063558337743,0.0070168496188443,179.54837944034568,179.54837944034568,1.3590967588806913
82,684.208700699431,4.660321259085322,0.0068579683214363,184.208700699431,184.208700699431,1.368417401398862
83,688.7350724335156,4.526371734084592,0.006615484032076,188.7350724335156,188.7350724335156,1.3774701448670312
84,693.1279835108171,4.392911077301505,0.0063782305462969,193.1279835108171,193.1279835108171,1.386255967021634
85,697.4331509184232,4.305167407606064,0.006211215691797,197.4331509184232,197.4331509184232,1.3948663018368463
86,702.1643081252241,4.731157206800958,0.0067836712386996,202.16430812522407,202.16430812522407,1.4043286162504482
87,706.7396974841586,4.575389358934444,0.006516123514097,206.73969748415857,206.73969748415857,1.413479394968317
88,711.8511777870414,5.111480302882796,0.0072324793995279,211.85117778704137,211.85117778704137,1.4237023555740826
89,717.0006973497307,5.149519562689306,0.0072339833428355,217.00069734973067,217.00069734973067,1.4340013946994614
