id,datetime,delta_days,coverage_fraction,coverage_percent,cloud_cover,folha_codigo
S2B_MSIL2A_20220817T140709_R110_T21MWP_20220818T012248,2022-08-17T14:07:09.024000+00:00,5921,1.0,100.0,0.002044,SB21_ZA_II1_NE
S2B_MSIL2A_20220817T140709_R110_T21MWP_20240719T093021,2022-08-17T14:07:09.024000+00:00,5921,1.0,100.0,0.002588,SB21_ZA_II1_NE
S2A_MSIL2A_20230628T140711_R110_T21MWP_20240925T024121,2023-06-28T14:07:11.024000+00:00,6236,1.0,100.0,0.000727,SB21_ZA_II1_NE
S2A_MSIL2A_20230628T140711_R110_T21MWP_20230629T044831,2023-06-28T14:07:11.024000+00:00,6236,1.0,100.0,0.000743,SB21_ZA_II1_NE
S2B_MSIL2A_20230703T140709_R110_T21MWP_20241013T181213,2023-07-03T14:07:09.024000+00:00,6241,1.0,100.0,0.308012,SB21_ZA_II1_NE
S2B_MSIL2A_20230723T140709_R110_T21MWP_20241014T122425,2023-07-23T14:07:09.024000+00:00,6261,1.0,100.0,0.0,SB21_ZA_II1_NE
S2B_MSIL2A_20230723T140709_R110_T21MWP_20230723T194804,2023-07-23T14:07:09.024000+00:00,6261,1.0,100.0,0.00142,SB21_ZA_II1_NE
S2A_MSIL2A_20230728T140711_R110_T21MWP_20230728T233314,2023-07-28T14:07:11.024000+00:00,6266,1.0,100.0,0.000677,SB21_ZA_II1_NE
S2A_MSIL2A_20230728T140711_R110_T21MWP_20241020T073225,2023-07-28T14:07:11.024000+00:00,6266,1.0,100.0,0.000703,SB21_ZA_II1_NE
S2A_MSIL2A_20230906T140711_R110_T21MWP_20241104T184647,2023-09-06T14:07:11.024000+00:00,6306,1.0,100.0,0.001954,SB21_ZA_II1_NE
S2A_MSIL2A_20230906T140711_R110_T21MWP_20230906T204146,2023-09-06T14:07:11.024000+00:00,6306,1.0,100.0,0.002087,SB21_ZA_II1_NE
S2B_MSIL2A_20240607T140709_R110_T21MWP_20240607T180925,2024-06-07T14:07:09.024000+00:00,6581,1.0,100.0,0.000265,SB21_ZA_II1_NE
S2B_MSIL2A_20240607T140709_R110_T21MWP_20240607T191838,2024-06-07T14:07:09.024000+00:00,6581,1.0,100.0,0.000269,SB21_ZA_II1_NE
S2A_MSIL2A_20240612T140711_R110_T21MWP_20240612T224301,2024-06-12T14:07:11.024000+00:00,6586,1.0,100.0,0.052064,SB21_ZA_II1_NE
S2B_MSIL2A_20240617T140709_R110_T21MWP_20240617T171140,2024-06-17T14:07:09.024000+00:00,6591,1.0,100.0,0.179017,SB21_ZA_II1_NE
S2A_MSIL2A_20240622T140711_R110_T21MWP_20240622T211506,2024-06-22T14:07:11.024000+00:00,6596,1.0,100.0,0.022833,SB21_ZA_II1_NE
S2B_MSIL2A_20240707T140709_R110_T21MWP_20240707T180957,2024-07-07T14:07:09.024000+00:00,6611,1.0,100.0,0.010196,SB21_ZA_II1_NE
S2B_MSIL2A_20240717T140709_R110_T21MWP_20240717T184245,2024-07-17T14:07:09.024000+00:00,6621,1.0,100.0,0.00061,SB21_ZA_II1_NE
S2A_MSIL2A_20240722T140711_R110_T21MWP_20240722T222537,2024-07-22T14:07:11.024000+00:00,6626,1.0,100.0,0.000743,SB21_ZA_II1_NE
S2B_MSIL2A_20240727T140709_R110_T21MWP_20240727T163116,2024-07-27T14:07:09.024000+00:00,6631,1.0,100.0,0.001191,SB21_ZA_II1_NE
S2A_MSIL2A_20240801T140711_R110_T21MWP_20240801T210154,2024-08-01T14:07:11.024000+00:00,6636,1.0,100.0,0.017157,SB21_ZA_II1_NE
S2B_MSIL2A_20240806T140709_R110_T21MWP_20240806T180620,2024-08-06T14:07:09.024000+00:00,6641,1.0,100.0,0.001364,SB21_ZA_II1_NE
S2A_MSIL2A_20240821T140701_R110_T21MWP_20240821T212552,2024-08-21T14:07:01.024000+00:00,6656,1.0,100.0,0.004934,SB21_ZA_II1_NE
