id,datetime,delta_days,coverage_fraction,coverage_percent,cloud_cover,folha_codigo
AST_L1T_00306012006141203_20150514154927,2006-06-01T14:12:03.804000+00:00,775,1.0,100.0,42.0,SB21_ZA_II1_NE
AST_L1T_00310202005141145_20150511152438,2005-10-20T14:11:45.205000+00:00,999,1.0,100.0,11.0,SB21_ZA_II1_NE
AST_L1T_00305132005141212_20150509113333,2005-05-13T14:12:12.600000+00:00,1159,1.0,100.0,15.0,SB21_ZA_II1_NE
