Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. Apr. 26 2015                  TERRA_ASTER                       Time: 17:20
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:   8.589 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  1.4%
Rank   3 --  5.5%
Rank   4 --  0.7%
Rank   5 -- 92.5%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280642863   -6.28601    -56.39130   -13.28      0.10    13.28     5 
2280642912   -6.28523    -55.91292    -3.68     -2.15     4.26     5 
2280642987   -6.29392    -55.91290   -10.66     -0.84    10.69     5 
2280643029   -6.30317    -56.23506   -18.33     -4.55    18.89     5 
2280643030   -6.30316    -56.22530    16.35      6.46    17.58     5 
2280643031   -6.30314    -56.21553    13.77     -5.05    14.67     5 
2280643105   -6.31184    -56.22528    14.67      5.81    15.78     5 
2280643110   -6.31177    -56.17647     7.11      4.12     8.22     5 
2280643165   -6.32072    -56.37173     5.06     10.14    11.33     5 
2280643180   -6.32052    -56.22527     8.24     -0.07     8.24     5 
2280643213   -6.31994    -55.90308   -11.07      9.35    14.49     5 
2280643313   -6.33811    -56.39124   -17.47      6.40    18.60     5 
2280643408   -6.34653    -56.19594     6.30      9.82    11.67     5 
2280643438   -6.34599    -55.90303    -0.92      6.49     6.56     5 
2280643483   -6.35521    -56.19593     5.92     10.07    11.69     5 
2280643493   -6.35505    -56.09828     5.55     -9.08    10.64     5 
2280643505   -6.35483    -55.98112    10.17      8.10    13.00     5 
2280643549   -6.36403    -56.28379    -1.01      2.39     2.59     4 
2280643625   -6.37270    -56.27402    -1.30      0.17     1.31     3 
2280643628   -6.37265    -56.24472    -3.47    -18.42    18.74     5 
2280643637   -6.37252    -56.15684    -7.44    -17.48    18.99     5 
2280643700   -6.38138    -56.27401    -1.29      0.19     1.30     3 
2280643703   -6.38134    -56.24471    -3.90    -18.52    18.92     5 
2280643945   -6.40712    -56.07866     9.56    -12.42    15.67     5 
2280643997   -6.41615    -56.30325    16.27      9.54    18.86     5 
2280644019   -6.41582    -56.08841     1.81      3.71     4.13     5 
2280644072   -6.42484    -56.30324    16.48      9.51    19.03     5 
2280644107   -6.42426    -55.96145   -15.72     -7.71    17.50     5 
2280644165   -6.43325    -56.12744     7.39      0.61     7.42     5 
2280644172   -6.43313    -56.05909    19.37      0.42    19.37     5 
2280644247   -6.44182    -56.05907    19.86      2.08    19.97     5 
2280644257   -6.44163    -55.96141     6.36     -0.12     6.36     5 
2280644371   -6.45959    -56.31296    -1.10     11.60    11.65     5 
2280644416   -6.45880    -55.87349     8.77    -10.32    13.54     5 
2280644475   -6.46781    -56.02972    -8.31    -11.21    13.96     5 
2280644511   -6.47708    -56.41061    10.87     -7.47    13.19     5 
2280644531   -6.47681    -56.21527     3.90     17.87    18.29     5 
2280644587   -6.48575    -56.40083    12.15     -6.97    14.01     5 
2280644597   -6.48562    -56.30316    15.58     -5.37    16.48     5 
2280644603   -6.48554    -56.24456    -9.60    -14.71    17.56     5 
2280644662   -6.49443    -56.40082    -3.91    -10.30    11.02     5 
2280644688   -6.49407    -56.14687   -12.41     -9.47    15.61     5 
2280644689   -6.49405    -56.13711   -12.13     -9.60    15.47     5 
2280644691   -6.49402    -56.11757     5.69    -13.49    14.64     5 
