Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. Apr. 26 2015                  TERRA_ASTER                       Time: 00:00
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.718 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  0.0%
Rank   3 --  9.6%
Rank   4 --  5.1%
Rank   5 -- 85.3%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280642490   -5.95321    -56.11929    -0.80     13.74    13.76     5 
2280642509   -5.95288    -55.93391    17.90      7.72    19.49     5 
2280642510   -5.95286    -55.92416    12.41     12.77    17.80     5 
2280642521   -5.95264    -55.81684   -14.65     -5.95    15.81     5 
2280642522   -5.95262    -55.80709   -14.91     -7.29    16.59     5 
2280642529   -5.95247    -55.73880    -3.91     11.40    12.06     5 
2280642584   -5.96157    -55.93390    15.96      9.66    18.65     5 
2280642595   -5.96135    -55.82658    -2.40     -0.41     2.44     4 
2280642601   -5.96122    -55.76804    -9.69     -9.84    13.81     5 
2280642647   -5.97046    -56.05096    18.90      1.90    18.99     5 
2280642654   -5.97034    -55.98266    12.88     15.04    19.80     5 
2280642709   -5.97935    -56.17779     2.34     15.58    15.75     5 
2280642713   -5.97929    -56.13876     5.76     14.81    15.89     5 
2280642820   -5.98740    -55.82652   -10.40     12.86    16.54     5 
2280642826   -5.98727    -55.76798    -1.69     -6.32     6.54     5 
2280642862   -5.99667    -56.14849     5.25     -7.34     9.02     5 
2280642893   -5.99612    -55.84602    -0.92     -1.13     1.45     3 
2280642894   -5.99610    -55.83626   -10.92     10.30    15.01     5 
2280642901   -5.99595    -55.76796     0.63      5.22     5.26     5 
2280642964   -6.00488    -55.88503     7.38     -6.35     9.74     5 
2280642968   -6.00480    -55.84600    -1.36     -0.98     1.68     3 
2280643011   -6.01406    -56.15822     4.57    -17.88    18.46     5 
2280643025   -6.01383    -56.02161    -7.62    -15.74    17.49     5 
2280643103   -6.02246    -55.99232    14.06     -7.97    16.16     5 
2280643182   -6.03107    -55.95328    18.76      0.39    18.76     5 
2280643193   -6.03085    -55.84594    -1.08     -0.85     1.37     3 
2280643268   -6.03953    -55.84593    -1.18     -1.09     1.60     3 
2280643320   -6.04865    -56.07034     7.76     16.10    17.87     5 
2280643321   -6.04863    -56.06058     9.64     10.67    14.38     5 
2280643336   -6.04836    -55.91421    15.08     11.31    18.85     5 
2280643337   -6.04834    -55.90445    15.16      0.42    15.16     5 
2280643343   -6.04822    -55.84591    -1.10     -1.25     1.67     3 
2280643348   -6.04811    -55.79712    -7.47    -17.04    18.60     5 
2280643386   -6.05747    -56.15816    12.74     -1.22    12.80     5 
2280643418   -6.05690    -55.84589    -1.34     -0.61     1.47     3 
2280643469   -6.06603    -56.08007    10.67      4.15    11.44     5 
2280643481   -6.06582    -55.96297    10.73     15.13    18.55     5 
2280643494   -6.06556    -55.83611    -1.85     -1.15     2.18     4 
2280643495   -6.06554    -55.82635     1.58      5.87     6.08     5 
2280643544   -6.07471    -56.08006    -4.63      2.29     5.16     5 
2280643566   -6.07430    -55.86537     5.60      5.42     7.79     5 
2280643568   -6.07426    -55.84585    -0.84     -1.10     1.38     3 
2280643569   -6.07424    -55.83609    -2.02     -1.14     2.31     4 
2280643618   -6.08341    -56.08980    11.15     10.34    15.21     5 
2280643645   -6.08290    -55.82632    10.78     -2.12    10.99     5 
2280643648   -6.08284    -55.79704   -11.96     11.56    16.63     5 
2280643774   -6.10068    -56.03122    -0.57    -14.85    14.87     5 
2280643781   -6.10055    -55.96290    -8.33     16.44    18.43     5 
2280643782   -6.10053    -55.95314   -10.84      9.37    14.33     5 
2280643930   -6.11794    -55.97263   -11.98      1.50    12.08     5 
2280644088   -6.13514    -55.89452    -0.99      6.23     6.31     5 
2280644094   -6.13502    -55.83596   -13.47     -4.92    14.34     5 
2280644095   -6.13500    -55.82620    -3.47      1.12     3.65     5 
2280644165   -6.14379    -55.87498    -5.45    -12.08    13.26     5 
2280644169   -6.14370    -55.83594     0.40     -0.97     1.05     3 
2280644170   -6.14368    -55.82619    -2.91      3.72     4.72     5 
2280644172   -6.14364    -55.80667     0.81    -10.00    10.03     5 
2280644173   -6.14362    -55.79691    -2.80     -9.22     9.63     5 
2280644232   -6.15263    -55.95304    -6.11    -18.16    19.16     5 
2280644238   -6.15251    -55.89448     4.96    -15.80    16.56     5 
2280644240   -6.15247    -55.87496   -12.83    -11.21    17.04     5 
2280644244   -6.15239    -55.83593    -1.62     -1.17     1.99     3 
2280644245   -6.15236    -55.82617    -1.61     -0.45     1.67     3 
2280644246   -6.15234    -55.81641    -2.81      0.76     2.91     4 
2280644247   -6.15232    -55.80665    -4.14     -4.72     6.28     5 
2280644319   -6.16107    -55.83591    -1.91     -1.24     2.27     4 
2280644320   -6.16105    -55.82615    -1.64     -0.70     1.78     3 
2280644321   -6.16103    -55.81639    -2.36      0.20     2.37     4 
2280644322   -6.16100    -55.80663    -7.60     -6.64    10.09     5 
2280644360   -6.17037    -56.16774     9.47    -12.02    15.31     5 
2280644371   -6.17019    -56.06037    -8.31     -8.50    11.88     5 
2280644372   -6.17018    -56.05061    -7.50    -10.81    13.16     5 
2280644398   -6.16967    -55.79685    -9.04     -7.84    11.97     5 
2280644434   -6.17907    -56.17749    -9.60     14.75    17.59     5 
2280644447   -6.17886    -56.05060    -8.10    -10.48    13.24     5 
2280644516   -6.18765    -56.10915     2.39    -11.05    11.31     5 
2280644517   -6.18763    -56.09938     3.76    -14.74    15.21     5 
2280644542   -6.18716    -55.85537   -16.32     -5.96    17.38     5 
2280644592   -6.19631    -56.09937     4.47    -13.85    14.55     5 
2280644598   -6.19621    -56.04080    19.28      4.81    19.87     5 
2280644617   -6.19584    -55.85535    -2.54     -8.07     8.46     5 
2280644618   -6.19582    -55.84559    -4.47    -11.32    12.17     5 
2280644655   -6.20518    -56.21649   -11.97     -8.69    14.79     5 
2280644673   -6.20489    -56.04079    16.24      4.88    16.96     5 
2280644682   -6.20473    -55.95294    -2.04      0.15     2.04     4 
2280644730   -6.21387    -56.21648    -2.37    -19.44    19.58     5 
2280644757   -6.21341    -55.95292    -1.76     -0.73     1.91     3 
2280644816   -6.22238    -56.10909     8.67    -12.60    15.29     5 
2280644843   -6.22187    -55.84553     9.45    -12.69    15.82     5 
2280644910   -6.23072    -55.92360    -0.48      6.85     6.86     5 
2280644913   -6.23066    -55.89432    -1.90     -0.34     1.93     3 
2280644918   -6.23055    -55.84551    10.70     -9.74    14.47     5 
2280644919   -6.23053    -55.83575    13.67    -13.02    18.88     5 
2280644988   -6.23934    -55.89430    -2.92      0.71     3.01     5 
2280644989   -6.23932    -55.88454    -2.47      0.82     2.61     4 
2280644993   -6.23923    -55.84550    10.55     -4.52    11.47     5 
2280644998   -6.23912    -55.79669   -10.86      8.75    13.95     5 
2280645053   -6.24822    -55.99190   -12.66     -6.72    14.33     5 
2280645054   -6.24820    -55.98214   -11.93     -7.95    14.34     5 
2280645143   -6.25660    -55.84546    -9.05    -12.97    15.82     5 
2280645220   -6.26524    -55.82592    17.10     -2.71    17.31     5 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 42

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -1.285
  Median: -1.855
  Standard Deviation: 9.644

Sample residual statistics:
  Mean: 1.091
  Median: -1.171
  Standard Deviation: 10.596

Quadrant RMSE: 14.427

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 46

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -2.925
  Median: -5.125
  Standard Deviation: 10.530

Sample residual statistics:
  Mean: 0.841
  Median: -1.269
  Standard Deviation: 8.653

Quadrant RMSE: 13.965

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 38

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 2.248
  Median: 3.075
  Standard Deviation: 9.905

Sample residual statistics:
  Mean: -1.742
  Median: -0.977
  Standard Deviation: 11.200

Quadrant RMSE: 15.219

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 50

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -1.191
  Median: -1.747
  Standard Deviation: 7.233

Sample residual statistics:
  Mean: -2.807
  Median: -1.143
  Standard Deviation: 6.553
