Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Mon. Apr. 20 2015                  TERRA_ASTER                       Time: 11:58
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.738 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 13.8%
Rank   2 -- 30.2%
Rank   3 --  2.6%
Rank   4 --  0.0%
Rank   5 -- 53.4%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280644079   -6.12246    -56.07184     2.23     -2.61     3.44     5 
2280644177   -6.13070    -55.84736    -0.29      0.04     0.30     1 
2280644208   -6.14014    -56.27678    -3.92    -18.25    18.66     5 
2280644212   -6.14009    -56.23774    -9.50     -9.37    13.35     5 
2280644252   -6.13939    -55.84734     0.39      0.21     0.44     1 
2280644253   -6.13937    -55.83758     0.73      0.18     0.75     2 
2280644287   -6.14877    -56.23772     0.83      9.72     9.76     5 
2280644288   -6.14876    -56.22796     3.16     18.66    18.93     5 
2280644327   -6.14807    -55.84732     0.62      0.22     0.66     2 
2280644328   -6.14805    -55.83756    -0.40     -0.28     0.49     1 
2280644384   -6.15710    -56.02298   -10.55      4.22    11.36     5 
2280644402   -6.15675    -55.84730    -0.07      0.02     0.08     1 
2280644403   -6.15673    -55.83754    -0.57     -0.34     0.67     2 
2280644404   -6.15671    -55.82778    -0.53     -0.25     0.58     2 
2280644405   -6.15669    -55.81802    -0.57     -0.02     0.57     2 
2280644450   -6.16594    -56.11081   -18.43     -1.73    18.51     5 
2280644479   -6.16539    -55.82776    -0.17      0.14     0.22     1 
2280644480   -6.16537    -55.81800    -0.61     -0.24     0.66     2 
2280644504   -6.17493    -56.31578     7.92      8.20    11.40     5 
2280644554   -6.17408    -55.82775    -0.51      0.12     0.53     2 
2280644555   -6.17405    -55.81799    -0.66     -0.24     0.70     2 
2280644585   -6.18353    -56.25720     1.57      4.43     4.69     5 
2280644615   -6.18304    -55.96437    -0.63     -0.09     0.64     2 
2280644679   -6.19192    -56.07172   -17.01     -4.22    17.53     5 
2280644687   -6.19178    -55.99363    -1.04     -0.11     1.05     3 
2280644691   -6.19171    -55.95459    -0.85     -0.08     0.85     2 
2280644766   -6.20039    -55.95457    -0.85      0.12     0.85     2 
2280644768   -6.20035    -55.93505     2.86      2.41     3.74     5 
2280644838   -6.20913    -55.98384    -0.93     -0.20     0.95     2 
2280644841   -6.20907    -55.95456    -0.78      0.20     0.80     2 
2280644913   -6.21781    -55.98382    -0.75     -0.09     0.75     2 
2280645153   -6.24356    -55.83735    -6.76    -13.73    15.31     5 
2280645231   -6.25217    -55.80805    11.83    -12.12    16.93     5 
2280645294   -6.26111    -55.92517    -0.29      9.65     9.66     5 
2280645295   -6.26109    -55.91541    -2.31      9.52     9.79     5 
2280645300   -6.26099    -55.86660    18.35      4.74    18.95     5 
2280645301   -6.26097    -55.85684   -14.38     -7.66    16.29     5 
2280645370   -6.26977    -55.91539    -0.98      7.76     7.83     5 
2280645371   -6.26975    -55.90563   -12.95      7.70    15.06     5 
2280645377   -6.26963    -55.84706    -3.50     14.24    14.66     5 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 23

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.456
  Median: -0.685
  Standard Deviation: 9.928

Sample residual statistics:
  Mean: -0.838
  Median: -0.408
  Standard Deviation: 7.614

Quadrant RMSE: 12.548

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 32

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.442
  Median: -0.425
  Standard Deviation: 6.233

Sample residual statistics:
  Mean: -0.777
  Median: -0.052
  Standard Deviation: 6.387

Quadrant RMSE: 8.969

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 19

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -3.405
  Median: -3.915
  Standard Deviation: 9.008

Sample residual statistics:
  Mean: 1.368
  Median: -0.009
  Standard Deviation: 9.096

Quadrant RMSE: 13.317

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 40

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.414
  Median: -0.593
  Standard Deviation: 4.989

Sample residual statistics:
  Mean: 0.404
  Median: -0.086
  Standard Deviation: 5.363

Quadrant RMSE: 7.347

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 116

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: -0.776
  Median: -0.631
  Standard Deviation: 7.393

Sample residual statistics:
  Mean: 0.082
  Median: -0.071
  Standard Deviation: 6.896

Scene RMSE: 10.140

