Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. Apr. 12 2015                  TERRA_ASTER                       Time: 01:55
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -2.823 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  2.6%
Rank   3 -- 22.8%
Rank   4 --  7.9%
Rank   5 -- 66.7%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280643340   -5.97420    -56.38759     2.54      3.87     4.63     5 
2280643343   -5.97416    -56.35831    -8.39    -12.79    15.29     5 
2280643544   -6.00044    -56.59248    -1.24     -0.99     1.58     3 
2280643618   -6.00913    -56.60224    -1.32     -1.10     1.71     3 
2280643619   -6.00912    -56.59248    -1.34     -1.09     1.72     3 
2280643637   -6.00896    -56.41682    13.18     -1.13    13.23     5 
2280643638   -6.00896    -56.40706    11.29     -0.60    11.30     5 
2280643651   -6.00880    -56.28021     9.48    -14.64    17.44     5 
2280643693   -6.01782    -56.60223    -1.80     -1.20     2.16     4 
2280643694   -6.01781    -56.59247    -1.41     -1.11     1.79     3 
2280643712   -6.01765    -56.41681     0.35      3.94     3.96     5 
2280643758   -6.02656    -56.69981     1.00     -0.37     1.07     3 
2280643833   -6.03525    -56.69981     0.05      0.63     0.63     2 
2280644008   -6.05243    -56.45581    -3.66    -14.51    14.96     5 
2280644083   -6.06111    -56.45580    -5.07    -15.47    16.28     5 
2280644112   -6.06075    -56.17279   -15.18     10.74    18.59     5 
2280644163   -6.06974    -56.40700     7.90    -15.47    17.37     5 
2280644332   -6.08688    -56.22154     4.14     10.29    11.09     5 
2280644443   -6.10466    -56.60216    -7.76    -16.44    18.18     5 
2280644518   -6.11334    -56.60216    -9.12    -16.85    19.16     5 
2280644535   -6.11319    -56.43623    -4.69      9.18    10.31     5 
2280644536   -6.11318    -56.42647    -5.55     11.67    12.92     5 
2280644557   -6.11293    -56.22151   -12.24     -3.94    12.86     5 
2280644558   -6.11291    -56.21175   -12.15     -3.83    12.74     5 
2280644561   -6.11287    -56.18247   -10.65    -14.93    18.34     5 
2280644606   -6.12192    -56.47526     8.01     -4.24     9.06     5 
2280644611   -6.12187    -56.42646    -5.84      5.65     8.12     5 
2280644667   -6.13072    -56.61191   -17.18      5.29    17.97     5 
2280644691   -6.13050    -56.37765   -18.36     -6.32    19.42     5 
2280644860   -6.14762    -56.19218   -17.79      0.49    17.80     5 
2280644861   -6.14760    -56.18241    -1.05    -19.95    19.98     5 
2280644896   -6.15674    -56.57284    15.90      8.40    17.98     5 
2280644919   -6.15651    -56.34834     1.66     19.83    19.90     5 
2280644977   -6.16538    -56.51427    -9.34     -4.51    10.37     5 
2280644978   -6.16537    -56.50451   -11.86     -5.98    13.28     5 
2280644986   -6.16529    -56.42641    -1.60    -11.72    11.83     5 
2280645058   -6.17400    -56.45569    14.65      1.01    14.68     5 
2280645145   -6.18255    -56.33854     2.63    -13.60    13.85     5 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 27

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.605
  Median: -0.988
  Standard Deviation: 9.244

Sample residual statistics:
  Mean: -0.085
  Median: -0.749
  Standard Deviation: 10.479

Quadrant RMSE: 13.987

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 3

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.143
  Median: -1.382
  Standard Deviation: 2.174

Sample residual statistics:
  Mean: 3.032
  Median: -0.575
  Standard Deviation: 5.144

Quadrant RMSE: 6.356

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 48

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -2.872
  Median: -1.585
  Standard Deviation: 4.987

Sample residual statistics:
  Mean: -1.741
  Median: -1.004
  Standard Deviation: 5.209

Quadrant RMSE: 7.955

---------------------------------------------------
