Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Mon. May. 11 2015                  TERRA_ASTER                       Time: 20:25
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -2.884 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  0.0%
Rank   3 -- 100.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640939   -5.71570    -56.26351    -1.03      0.91     1.37     3 
2280640940   -5.71569    -56.25376    -0.98      0.92     1.34     3 
2280640941   -5.71568    -56.24401    -1.07      0.95     1.43     3 
2280640942   -5.71566    -56.23425    -1.13      0.90     1.45     3 
2280640943   -5.71565    -56.22450    -1.09      0.95     1.45     3 
2280640944   -5.71564    -56.21475    -0.97      0.86     1.29     3 
2280640945   -5.71562    -56.20500    -0.97      0.85     1.29     3 
2280640946   -5.71561    -56.19524    -1.07      0.88     1.38     3 
2280640952   -5.71552    -56.13673    -0.94      1.06     1.42     3 
2280640953   -5.71551    -56.12697    -1.04      1.09     1.51     3 
2280640954   -5.71550    -56.11722    -0.99      1.05     1.45     3 
2280640955   -5.71548    -56.10747    -1.01      1.05     1.46     3 
2280640956   -5.71547    -56.09772    -0.98      1.08     1.46     3 
2280640957   -5.71545    -56.08796    -0.88      1.01     1.34     3 
2280640958   -5.71543    -56.07821    -0.84      0.99     1.30     3 
2280640996   -5.72458    -56.43906    -1.19      0.67     1.36     3 
2280641008   -5.72446    -56.32202    -1.10      0.95     1.45     3 
2280641009   -5.72445    -56.31227    -1.08      0.95     1.44     3 
2280641010   -5.72443    -56.30251    -1.03      0.99     1.43     3 
2280641011   -5.72442    -56.29276    -1.00      0.97     1.40     3 
2280641012   -5.72441    -56.28301    -1.02      0.96     1.40     3 
2280641013   -5.72440    -56.27326    -0.98      0.91     1.33     3 
2280641014   -5.72439    -56.26350    -0.95      0.88     1.30     3 
2280641015   -5.72437    -56.25375    -1.03      0.84     1.33     3 
2280641016   -5.72436    -56.24400    -1.11      0.99     1.49     3 
2280641017   -5.72435    -56.23424    -1.04      0.90     1.38     3 
2280641018   -5.72433    -56.22449    -1.02      0.90     1.36     3 
2280641019   -5.72432    -56.21474    -0.98      0.85     1.30     3 
2280641020   -5.72431    -56.20498    -0.92      0.86     1.26     3 
2280641028   -5.72419    -56.12696    -1.03      1.04     1.46     3 
2280641029   -5.72418    -56.11721    -1.01      1.00     1.42     3 
2280641030   -5.72416    -56.10745    -0.87      1.06     1.37     3 
2280641031   -5.72415    -56.09770    -0.99      1.02     1.42     3 
2280641032   -5.72413    -56.08795    -0.97      1.01     1.40     3 
2280641033   -5.72412    -56.07820    -0.97      1.02     1.40     3 
2280641076   -5.73322    -56.39029    -1.01      0.76     1.26     3 
2280641077   -5.73321    -56.38053    -0.97      0.81     1.26     3 
2280641083   -5.73314    -56.32201    -1.06      0.92     1.40     3 
2280641084   -5.73313    -56.31226    -1.03      0.92     1.39     3 
2280641088   -5.73308    -56.27325    -0.98      0.88     1.32     3 
2280641089   -5.73307    -56.26349    -0.92      0.88     1.28     3 
2280641090   -5.73306    -56.25374    -0.99      0.88     1.33     3 
2280641091   -5.73304    -56.24399    -1.05      0.99     1.44     3 
2280641092   -5.73303    -56.23423    -1.00      0.89     1.34     3 
2280641093   -5.73302    -56.22448    -0.97      0.91     1.34     3 
2280641094   -5.73301    -56.21473    -0.96      0.88     1.31     3 
2280641095   -5.73299    -56.20497    -0.86      0.89     1.24     3 
2280641100   -5.73292    -56.15621    -1.11      0.89     1.42     3 
2280641101   -5.73291    -56.14645    -1.00      0.92     1.36     3 
2280641106   -5.73283    -56.09769    -0.97      0.99     1.38     3 
2280641107   -5.73282    -56.08794    -0.99      0.98     1.39     3 
2280641108   -5.73280    -56.07818    -0.97      0.99     1.39     3 
2280641109   -5.73278    -56.06843    -0.95      1.02     1.39     3 
2280641110   -5.73277    -56.05868    -0.90      0.98     1.34     3 
2280641147   -5.74194    -56.42929    -1.17      0.86     1.45     3 
2280641150   -5.74191    -56.40003    -1.05      0.81     1.33     3 
2280641151   -5.74190    -56.39028    -1.11      0.85     1.40     3 
2280641152   -5.74189    -56.38052    -0.98      0.78     1.25     3 
2280641156   -5.74185    -56.34151    -1.03      0.86     1.34     3 
2280641157   -5.74184    -56.33176    -1.10      0.89     1.41     3 
2280641158   -5.74183    -56.32200    -1.06      0.95     1.42     3 
2280641159   -5.74181    -56.31225    -1.03      0.88     1.36     3 
2280641162   -5.74178    -56.28299    -1.12      0.96     1.47     3 
2280641163   -5.74177    -56.27323    -1.06      0.85     1.36     3 
2280641164   -5.74175    -56.26348    -1.05      0.92     1.40     3 
2280641170   -5.74167    -56.20496    -0.98      0.92     1.34     3 
2280641181   -5.74152    -56.09767    -0.98      1.04     1.43     3 
2280641182   -5.74150    -56.08792    -0.97      1.01     1.40     3 
2280641183   -5.74148    -56.07817    -0.93      1.00     1.36     3 
2280641222   -5.75063    -56.42928    -1.19      0.82     1.44     3 
2280641225   -5.75060    -56.40002    -1.14      0.79     1.39     3 
2280641226   -5.75059    -56.39027    -1.15      0.87     1.44     3 
2280641227   -5.75058    -56.38051    -1.08      0.73     1.30     3 
2280641231   -5.75053    -56.34150    -1.08      0.91     1.41     3 
2280641232   -5.75052    -56.33174    -1.07      0.93     1.41     3 
2280641233   -5.75051    -56.32199    -1.08      0.93     1.43     3 
2280641234   -5.75050    -56.31224    -1.09      0.90     1.41     3 
2280641235   -5.75049    -56.30248    -1.06      0.94     1.42     3 
2280641236   -5.75047    -56.29273    -1.04      1.00     1.44     3 
2280641237   -5.75046    -56.28298    -1.03      0.82     1.31     3 
2280641238   -5.75045    -56.27322    -1.03      0.82     1.32     3 
2280641258   -5.75017    -56.07815    -0.86      1.05     1.36     3 
2280641292   -5.75936    -56.47805    -1.00      0.70     1.22     3 
2280641293   -5.75935    -56.46829    -1.01      0.70     1.23     3 
2280641295   -5.75933    -56.44878    -1.03      0.84     1.33     3 
2280641296   -5.75932    -56.43903    -1.10      0.75     1.33     3 
2280641297   -5.75931    -56.42927    -1.10      0.78     1.35     3 
2280641298   -5.75930    -56.41952    -1.12      0.79     1.37     3 
2280641301   -5.75927    -56.39026    -1.07      0.78     1.32     3 
2280641302   -5.75926    -56.38050    -1.17      0.69     1.36     3 
2280641304   -5.75924    -56.36100    -1.01      0.84     1.31     3 
2280641305   -5.75923    -56.35124    -1.05      0.92     1.40     3 
2280641306   -5.75922    -56.34149    -1.08      0.94     1.44     3 
2280641307   -5.75920    -56.33174    -1.05      0.94     1.41     3 
2280641308   -5.75919    -56.32198    -1.06      0.93     1.41     3 
2280641309   -5.75918    -56.31223    -1.10      0.91     1.43     3 
2280641310   -5.75917    -56.30247    -1.24      0.95     1.56     3 
2280641311   -5.75916    -56.29272    -1.15      0.91     1.47     3 
2280641312   -5.75915    -56.28296    -1.03      0.84     1.33     3 
2280641313   -5.75913    -56.27321    -1.06      0.83     1.35     3 
2280641328   -5.75893    -56.12691    -0.92      1.03     1.38     3 
2280641329   -5.75891    -56.11715    -1.08      1.01     1.48     3 
2280641330   -5.75890    -56.10740    -1.00      1.12     1.50     3 
2280641368   -5.76803    -56.46828    -1.11      0.77     1.35     3 
2280641371   -5.76801    -56.43902    -1.07      0.78     1.33     3 
2280641372   -5.76799    -56.42927    -1.12      0.79     1.37     3 
2280641373   -5.76799    -56.41951    -1.18      0.77     1.41     3 
2280641374   -5.76797    -56.40976    -1.14      0.77     1.38     3 
2280641375   -5.76797    -56.40000    -1.08      0.83     1.36     3 
2280641376   -5.76795    -56.39025    -1.05      0.85     1.35     3 
2280641377   -5.76794    -56.38050    -1.12      0.75     1.35     3 
2280641378   -5.76793    -56.37074    -1.17      0.77     1.40     3 
2280641379   -5.76792    -56.36099    -1.09      0.90     1.41     3 
