Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. May. 10 2015                  TERRA_ASTER                       Time: 19:00
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.729 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 -- 69.2%
Rank   3 -- 30.8%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640618   -5.73125    -56.12695     0.26     -0.98     1.02     3 
2280640619   -5.73123    -56.11720     0.10     -1.05     1.05     3 
2280640621   -5.73120    -56.09769     0.04     -0.97     0.97     2 
2280640622   -5.73119    -56.08794     0.24     -0.96     0.99     2 
2280640623   -5.73117    -56.07818     0.30     -0.96     1.01     3 
2280640624   -5.73116    -56.06843     0.31     -0.93     0.98     2 
2280640625   -5.73114    -56.05868    -0.08     -0.99     1.00     2 
2280640626   -5.73113    -56.04893     0.10     -0.95     0.96     2 
2280640627   -5.73111    -56.03917     0.33     -0.94     0.99     2 
2280640630   -5.73106    -56.00991     0.26     -0.98     1.01     3 
2280640635   -5.73097    -55.96115     0.31     -0.82     0.88     2 
2280640636   -5.73095    -55.95140     0.32     -0.89     0.94     2 
2280640637   -5.73094    -55.94165     0.21     -0.85     0.88     2 
2280640648   -5.73073    -55.83437    -0.43     -0.86     0.96     2 
2280640649   -5.73071    -55.82462    -0.26     -0.86     0.90     2 
2280640690   -5.73998    -56.15619     0.17     -0.95     0.96     2 
2280640696   -5.73989    -56.09768     0.08     -0.97     0.97     2 
2280640697   -5.73987    -56.08792     0.22     -0.97     0.99     2 
2280640698   -5.73986    -56.07817     0.28     -0.96     1.00     2 
2280640701   -5.73981    -56.04891     0.08     -0.96     0.97     2 
2280640702   -5.73979    -56.03916     0.21     -0.97     0.99     2 
2280640705   -5.73974    -56.00990     0.17     -0.97     0.99     2 
2280640706   -5.73972    -56.00015     0.16     -0.85     0.87     2 
2280640708   -5.73969    -55.98064     0.14     -0.89     0.90     2 
2280640709   -5.73967    -55.97089     0.12     -0.85     0.86     2 
2280640710   -5.73966    -55.96114     0.16     -0.83     0.85     2 
2280640711   -5.73964    -55.95138     0.27     -0.89     0.93     2 
2280640712   -5.73962    -55.94163     0.18     -0.87     0.89     2 
2280640723   -5.73941    -55.83436    -0.19     -0.93     0.95     2 
2280640724   -5.73939    -55.82460    -0.19     -0.97     0.99     2 
2280640765   -5.74866    -56.15618     0.26     -0.93     0.97     2 
2280640771   -5.74857    -56.09766     0.17     -0.94     0.96     2 
2280640772   -5.74856    -56.08791     0.18     -0.95     0.97     2 
2280640773   -5.74854    -56.07816     0.03     -1.04     1.04     3 
2280640778   -5.74846    -56.02939     0.09     -0.95     0.95     2 
2280640779   -5.74844    -56.01964     0.03     -0.92     0.92     2 
2280640780   -5.74843    -56.00988     0.19     -0.90     0.92     2 
2280640782   -5.74839    -55.99038     0.14     -0.87     0.88     2 
2280640783   -5.74837    -55.98063     0.22     -0.90     0.93     2 
2280640784   -5.74836    -55.97087     0.20     -0.85     0.88     2 
2280640785   -5.74834    -55.96112     0.16     -0.86     0.88     2 
2280640798   -5.74809    -55.83434    -0.44     -0.92     1.02     3 
2280640799   -5.74807    -55.82458    -0.45     -0.88     0.99     2 
2280640800   -5.74805    -55.81483    -0.27     -0.87     0.91     2 
2280640842   -5.75732    -56.13666     0.14     -0.99     1.00     3 
2280640843   -5.75730    -56.12691     0.05     -0.98     0.98     2 
2280640853   -5.75714    -56.02938    -0.01     -0.99     0.99     2 
2280640854   -5.75713    -56.01962    -0.01     -0.98     0.98     2 
2280640855   -5.75711    -56.00987     0.16     -0.96     0.97     2 
2280640857   -5.75708    -55.99036     0.13     -0.88     0.89     2 
2280640858   -5.75706    -55.98061     0.15     -0.90     0.91     2 
2280640859   -5.75704    -55.97086     0.19     -0.91     0.93     2 
2280640860   -5.75702    -55.96111     0.14     -0.94     0.95     2 
2280640874   -5.75676    -55.82457    -0.46     -0.89     1.00     2 
2280640875   -5.75674    -55.81482    -0.39     -0.87     0.96     2 
2280640928   -5.76583    -56.02936    -0.03     -0.94     0.94     2 
2280640929   -5.76581    -56.01961    -0.06     -0.92     0.92     2 
2280640930   -5.76579    -56.00986     0.11     -0.95     0.96     2 
2280640931   -5.76577    -56.00010     0.10     -0.94     0.95     2 
2280640932   -5.76576    -55.99035     0.12     -0.91     0.92     2 
2280640933   -5.76574    -55.98060     0.10     -0.92     0.93     2 
2280640934   -5.76572    -55.97084     0.12     -0.93     0.93     2 
2280640935   -5.76570    -55.96109     0.11     -0.94     0.95     2 
2280640950   -5.76542    -55.81480    -0.37     -0.91     0.98     2 
2280640951   -5.76540    -55.80504    -0.32     -0.97     1.02     3 
2280640952   -5.76538    -55.79529    -0.37     -0.88     0.95     2 
2280641006   -5.77446    -56.00009     0.04     -1.02     1.02     3 
2280641007   -5.77444    -55.99033    -0.16     -1.08     1.09     3 
2280641008   -5.77442    -55.98058     0.22     -0.94     0.96     2 
2280641009   -5.77441    -55.97083     0.24     -0.93     0.96     2 
2280641010   -5.77439    -55.96107     0.26     -0.91     0.95     2 
2280641011   -5.77437    -55.95132     0.17     -0.89     0.90     2 
2280641012   -5.77435    -55.94157     0.17     -0.72     0.74     2 
2280641013   -5.77433    -55.93181     0.22     -0.81     0.84     2 
2280641025   -5.77410    -55.81478    -0.34     -0.97     1.03     3 
2280641026   -5.77408    -55.80503    -0.36     -1.03     1.10     3 
2280641027   -5.77406    -55.79527    -0.36     -0.88     0.95     2 
2280641081   -5.78314    -56.00007    -0.00     -1.06     1.06     3 
2280641084   -5.78309    -55.97081     0.26     -0.87     0.91     2 
2280641085   -5.78307    -55.96106     0.29     -0.86     0.91     2 
2280641086   -5.78305    -55.95130     0.18     -0.85     0.87     2 
2280641098   -5.78282    -55.83427     0.10     -0.89     0.89     2 
2280641101   -5.78276    -55.80501    -0.35     -0.99     1.04     3 
2280641102   -5.78274    -55.79525    -0.40     -0.97     1.04     3 
2280641103   -5.78272    -55.78550    -0.16     -1.15     1.17     3 
2280641160   -5.79176    -55.96104     0.16     -0.83     0.84     2 
2280641161   -5.79174    -55.95129     0.22     -0.83     0.86     2 
2280641173   -5.79151    -55.83425     0.13     -0.87     0.88     2 
2280641176   -5.79145    -55.80499    -0.26     -0.97     1.01     3 
2280641177   -5.79143    -55.79524    -0.40     -1.03     1.10     3 
2280641178   -5.79141    -55.78548    -0.39     -1.12     1.18     3 
2280641237   -5.80040    -55.94152     0.30     -0.81     0.87     2 
2280641238   -5.80038    -55.93176     0.25     -0.89     0.92     2 
2280641239   -5.80037    -55.92201     0.35     -0.83     0.90     2 
2280641244   -5.80027    -55.87324     0.24     -0.81     0.84     2 
2280641251   -5.80013    -55.80497    -0.14     -0.97     0.98     2 
2280641252   -5.80011    -55.79522    -0.32     -1.03     1.08     3 
2280641253   -5.80009    -55.78547    -0.44     -1.04     1.13     3 
2280641254   -5.80007    -55.77571    -0.41     -1.07     1.15     3 
2280641255   -5.80005    -55.76596    -0.35     -1.10     1.15     3 
2280641307   -5.80917    -55.99027     0.04     -1.05     1.05     3 
2280641313   -5.80907    -55.93175     0.08     -0.84     0.84     2 
2280641314   -5.80905    -55.92200     0.15     -0.84     0.85     2 
2280641317   -5.80899    -55.89273     0.17     -0.88     0.89     2 
2280641328   -5.80877    -55.78545    -0.38     -0.99     1.06     3 
2280641367   -5.81810    -56.13657     0.07     -0.90     0.90     2 
2280641392   -5.81767    -55.89272     0.06     -0.92     0.92     2 
2280641406   -5.81739    -55.75617     0.13     -0.95     0.96     2 
2280641407   -5.81737    -55.74641    -0.06     -1.06     1.06     3 
2280641442   -5.82678    -56.13656     0.10     -0.89     0.90     2 
2280641454   -5.82659    -56.01950    -0.19     -0.92     0.93     2 
2280641467   -5.82636    -55.89270     0.04     -0.90     0.90     2 
2280641514   -5.83551    -56.16581     0.06     -0.90     0.90     2 
2280641515   -5.83550    -56.15605     0.05     -0.92     0.92     2 
2280641516   -5.83548    -56.14630     0.01     -0.92     0.92     2 
2280641529   -5.83528    -56.01949    -0.40     -0.95     1.03     3 
2280641542   -5.83504    -55.89268    -0.00     -0.87     0.87     2 
2280641557   -5.83473    -55.74638     0.01     -1.12     1.12     3 
2280641589   -5.84420    -56.16580     0.03     -0.90     0.90     2 
2280641590   -5.84418    -56.15604    -0.04     -0.93     0.93     2 
2280641591   -5.84417    -56.14629    -0.02     -0.79     0.79     2 
2280641592   -5.84415    -56.13653    -0.38     -1.10     1.16     3 
2280641593   -5.84413    -56.12678    -0.36     -1.04     1.11     3 
